brand,model,slug,c_rating,capacity_mah,cells,chemistry,connector,dimensions_mm,price_per_wh_usd,price_usd,weight_g,sources,note
RDQ,RDQ Series 550mAh 4S,rdq-rdq-series-550mah-4s,90C,550,4S,LiPo,XT30,24x18x73mm,2.52,20.49,56.0,https://www.racedayquads.com/products/rdq-series-14-8v-4s-550mah-90c-lipo-battery-xt30,
RDQ,RDQ Series 550mAh 6S,rdq-rdq-series-550mah-6s,90C,550,6S,LiPo,XT30,36x18x73mm,2.21,26.99,83.0,https://www.racedayquads.com/products/rdq-series-22-2v-6s-550mah-90c-lipo-battery-xt30,
RDQ,RDQ Series 6000mAh 6S,rdq-rdq-series-6000mah-6s,100C,6000,6S,LiPo,XT90,,1.01,134.99,832.0,https://www.racedayquads.com/products/rdq-series-22-2v-6s-6000mah-100c-lipo-battery-xt150,
RDQ,RDQ Series 6500mAh 6S,rdq-rdq-series-6500mah-6s,70C,6500,6S,LiHV,XT90,52x44x141mm,1.14,168.99,702.0,https://www.racedayquads.com/products/rdq-series-22-8v-6s-6500mah-70c-lihv-battery-xt90,
RDQ,RDQ Series 650mAh 1S,rdq-rdq-series-650mah-1s,60C,650,1S,LiHV,PH2.0,58x18x8mm,3.44,8.49,14.5,https://www.racedayquads.com/products/rdq-series-3-8v-1s-650mah-60c-lihv-battery-ph2-0,
RDQ,RDQ Series 650mAh 2S,rdq-rdq-series-650mah-2s,60C,650,2S,LiHV,XT30,63x17x16mm,2.02,9.99,31.6,https://www.racedayquads.com/products/rdq-series-7-6v-2s-650mah-60c-lihv-battery-xt30,
RDQ,RDQ Series 650mAh 3S,rdq-rdq-series-650mah-3s,120C,650,3S,LiPo,XT30,16x30x63mm,2.49,17.99,58.0,https://www.racedayquads.com/products/rdq-series-11-4v-3s-650mah-120c-lipo-battery-xt30,
RDQ,RDQ Series 650mAh 4S,rdq-rdq-series-650mah-4s,60C,650,4S,LiHV,XT30,63x31x18mm,2.28,22.49,60.6,https://www.racedayquads.com/products/rdq-series-15-2v-4s-650mah-60c-lihv-battery-xt30|https://www.racedayquads.com/products/rdq-series-650mah-4s-80c-fpv-drone-battery-xt30,
RDQ,RDQ Series 650mAh 5S,rdq-rdq-series-650mah-5s,120C,650,5S,LiHV,XT30,27x30x64mm,2.19,26.99,93.0,https://www.racedayquads.com/products/rdq-series-19v-5s-650mah-120c-lihv-battery-xt30,
RDQ,RDQ Series 650mAh 6S,rdq-rdq-series-650mah-6s,120C,650,6S,LiHV,XT30,31x30x64mm,2.16,31.99,100.0,https://www.racedayquads.com/products/rdq-series-22-8v-6s-650mah-120c-lihv-micro-battery-xt30,
RDQ,RDQ Series 660mAh 1S,rdq-rdq-series-660mah-1s,90C,660,1S,LiHV,PH2.0,,3.58,8.99,15.5,https://www.racedayquads.com/products/rdq-series-3-8v-1s-660mah-90c-lihv-whoop-micro-battery-ph2-0,
RDQ,RDQ Series 660mAh 2S,rdq-rdq-series-660mah-2s,90C,660,2S,LiHV,XT30,"63

x

18

x15.5

mm",2.49,12.49,33.0,https://www.racedayquads.com/products/rdq-series-7-4v-2s-660mah-90c-lihv-battery-xt30,
RDQ,RDQ Series 660mAh 3S,rdq-rdq-series-660mah-3s,90C,660,3S,LiHV,XT30,"65

x23.5

x18

mm",1.99,14.99,50.5,https://www.racedayquads.com/products/rdq-series-11-4v-3s-660mah-90c-lihv-battery-xt30,
RDQ,RDQ Series 660mAh 4S,rdq-rdq-series-660mah-4s,90C,660,4S,LiHV,XT30,"65

x31

x18

mm",2.04,20.49,65.0,https://www.racedayquads.com/products/rdq-series-15-2v-4s-660mah-90c-lihv-battery-xt30,
RDQ,RDQ Series 720mAh 1S,rdq-rdq-series-720mah-1s,100C,720,1S,LiHV,PH2.0,65.5x18x7.5mm,3.47,9.49,17.0,https://www.racedayquads.com/products/rdq-series-3-8v-1s-720mah-100c-lihv-whoop-micro-battery-ph2-0,
RDQ,RDQ Series 720mAh 2S,rdq-rdq-series-720mah-2s,100C,720,2S,LiHV,XT30,71x18x15mm,2.37,12.99,36.5,https://www.racedayquads.com/products/rdq-series-7-6v-2s-720mah-100c-lihv-whoopmicro-battery-xt30,
RDQ,RDQ Series 720mAh 3S,rdq-rdq-series-720mah-3s,100C,720,3S,LiHV,XT30,73x22.5x19mm,2.25,18.49,53.0,https://www.racedayquads.com/products/rdq-series-11-4v-3s-720mah-100c-lihv-whoopmicro-battery-xt30,
RDQ,RDQ Series 720mAh 4S,rdq-rdq-series-720mah-4s,100C,720,4S,LiHV,XT30,72.5x30x18.5mm,1.87,20.49,71.0,https://www.racedayquads.com/products/rdq-series-15-2v-4s-720mah-100c-lihv-whoop-micro-battery-xt30,
RDQ,RDQ Series 720mAh 6S,rdq-rdq-series-720mah-6s,100C,720,6S,LiHV,XT30,74x44x18.5mm,1.98,32.49,103.0,https://www.racedayquads.com/products/rdq-series-22-8v-6s-720mah-100c-lihv-whoop-micro-battery-xt30,
RDQ,RDQ Series 850mAh 1S,rdq-rdq-series-850mah-1s,60C,850,1S,LiHV,PH2.0,67x18x7.5mm,3.25,10.49,16.6,https://www.racedayquads.com/products/rdq-series-3-8v-1s-850mah-60c-lihv-whoop-micro-battery-ph2-0,
