brand,model,slug,blades,diameter_in,mount,pitch_in,price_usd,suited_motors,weight_g,sources,note
Gemfan,"Flash 6042 Bi-Blade 6"" Prop - Choose Your",gemfan-flash-6042-bi-blade-6-prop-choose-your,6,6.0,5mm,4.2,3.24,,4.82,https://www.racedayquads.com/products/gemfan-6042-6-2-blade-propellers-choose-your-color,
Gemfan,"Flash 6042 Tri-Blade 6"" Prop - Choose Your",gemfan-flash-6042-tri-blade-6-prop-choose-your,6,6.0,5mm,4.2,3.99,,6.45,https://www.racedayquads.com/products/gemfan-6042-flash-6-tri-blade-prop-choose-your-color,
Gemfan,"Flash 7040 Tri-Blade 7"" Prop - Choose Your",gemfan-flash-7040-tri-blade-7-prop-choose-your,7,7.0,5mm,4.0,4.99,,7.9,https://www.racedayquads.com/products/gemfan-flash-7040-tri-blade-7-prop-4-pack-choose-your-color,
Gemfan,Flash 7042 Durable Bi-Blade 7″ Prop – Choose Your,gemfan-flash-7042-durable-bi-blade-7-prop-choose-your,7,7.0,5mm,3.6,4.99,,5.52,https://www.racedayquads.com/products/gemfan-flash-7042-bi-blade-7-prop-4-pack-choose-your-color,
Gemfan,"Freestyle 5226 Durable Tri-Blade 5.2"" Prop - Choose Your",gemfan-freestyle-5226-durable-tri-blade-5-2-prop-choose-your,3,5.2,5mm,2.6,3.99,,4.0,https://www.racedayquads.com/products/gemfan-freestyle-5226-durable-tri-blade-5-2-prop-4-pack-choose-your-color,
Gemfan,"Freestyle 6030 Tri-Blade 6"" Prop - Choose Your",gemfan-freestyle-6030-tri-blade-6-prop-choose-your,3,6.0,5mm,3.0,4.49,,4.45,https://www.racedayquads.com/products/gemfan-freestyle-6030-tri-blade-6-prop-4-pack-choose-your-color,
Gemfan,"Freestyle4 5.1"" 3-Blade - Mango",gemfan-freestyle4-5-1-3-blade-mango,3,5.1,5mm,3.6,3.99,,3.6,https://www.racedayquads.com/products/gemfan-freestyle4-5-1-3-blade-propeller-set-of-4-mango-yellow,
Gemfan,"Fury 5128.0 Tri-Blade 5"" Prop - Choose your",gemfan-fury-5128-0-tri-blade-5-prop-choose-your,5,5.0,5mm,2.8,3.99,,4.3,https://www.racedayquads.com/products/gemfan-fury-5128-0-tri-blade-5-prop-4-pack-choose-your-color,
Gemfan,"Fury 5131.0 Tri-Blade 5"" Prop",gemfan-fury-5131-0-tri-blade-5-prop,3,5.1,5mm,3.1,3.99,,4.2,https://www.racedayquads.com/products/gemfan-fury-5131-0-tri-blade-clear-gray,
Gemfan,"Hurricane 2023 Tri-Blade 2"" Prop (1.5mm) - Choose Your",gemfan-hurricane-2023-tri-blade-2-prop-1-5mm-choose-your,3,2.0,1.5mm,2.3,2.99,,0.87,https://www.racedayquads.com/products/gemfan-hurricane-2023-tri-blade-2-prop-8-pack-1-5mm-choose-your-color,
Gemfan,"Hurricane 2512 Tri-Blade 2.5"" Prop - Choose Your",gemfan-hurricane-2512-tri-blade-2-5-prop-choose-your,2,2.5,1.5mm,1.2,4.49,,0.8,https://www.racedayquads.com/products/gemfan-hurricane-2512-tri-blade-2-5-prop-8-pack-choose-your-color,
Gemfan,"Hurricane 3016 Durable Tri-Blade 3"" Prop (1.5mm) - Choose Your",gemfan-hurricane-3016-durable-tri-blade-3-prop-1-5mm-choose-your,3,3.0,1.5mm,1.6,2.59,,1.18,https://www.racedayquads.com/products/gemfan-hurricane-3016-durable-tri-blade-3-prop-4-pack-1-5mm-choose-your-color,
Gemfan,"Hurricane 3016 Durable Tri-Blade 3"" Prop (2mm) - Choose Your",gemfan-hurricane-3016-durable-tri-blade-3-prop-2mm-choose-your,3,3.0,2mm,1.6,2.59,,1.18,https://www.racedayquads.com/products/gemfan-hurricane-3016-durable-tri-blade-3-prop-4-pack-2mm-choose-your-color,
Gemfan,"Hurricane 3018 Durable Bi-Blade 3"" Prop (1.5mm) - Choose Your",gemfan-hurricane-3018-durable-bi-blade-3-prop-1-5mm-choose-your,2,3.0,T-mount,1.8,4.99,,0.75,https://www.racedayquads.com/products/gemfan-hurricane-3018-durable-bi-blade-3-prop-8-pack-1-5mm-choose-your-color,
Gemfan,"Hurricane 3018 Durable Bi-Blade 3"" Prop (2mm) - Choose Your",gemfan-hurricane-3018-durable-bi-blade-3-prop-2mm-choose-your,2,3.0,T-mount,1.8,4.99,,0.75,https://www.racedayquads.com/products/gemfan-hurricane-3018-durable-bi-blade-3-prop-8-pack-2mm-choose-your-color,
Gemfan,Hurricane 3020 Durable Tri-Blade Prop - Choose Your,gemfan-hurricane-3020-durable-tri-blade-prop-choose-your,3,3.0,1.5mm,2.0,3.99,,1.3,https://www.racedayquads.com/products/gemfan-hurricane-3020-durable-tri-blade-3-prop-4-pack-choose-your-color,
Gemfan,"Hurricane 3520 Durable Tri-Blade 3.5"" Prop - Choose Your",gemfan-hurricane-3520-durable-tri-blade-3-5-prop-choose-your,3,3.5,T-mount,2.0,3.99,,1.7,https://www.racedayquads.com/products/gemfan-hurricane-3520-durable-tri-blade-3-5-prop-4-pack-choose-your-color,
Gemfan,Hurricane 3630 3-Blade -1.5mm,gemfan-hurricane-3630-3-blade-1-5mm,3,3.6,1.5mm T-mount,3.0,2.69,,2.3,https://www.racedayquads.com/products/gemfan-hurricane-3630-3-blade-propeller-set-of-4-1-5mm,
Gemfan,Hurricane 4023 Durable 3-Blade,gemfan-hurricane-4023-durable-3-blade,3,4.0,2mm T-mount,2.3,3.99,,1.98,https://www.racedayquads.com/products/gemfan-hurricane-4023-durable-3-blade-propeller-set-of-4,
Gemfan,Hurricane 4023 Durable 3-Blade - 1.5mm,gemfan-hurricane-4023-durable-3-blade-1-5mm,3,10.0,1.5mm T-mount,2.3,3.99,,2.05,https://www.racedayquads.com/products/gemfan-hurricane-4023-durable-3-blade-propeller-set-of-4-1-5mm,
Gemfan,"Hurricane 4024 Durable Bi-Blade 4"" Prop - Choose Your",gemfan-hurricane-4024-durable-bi-blade-4-prop-choose-your,2,4.0,T-mount,2.4,4.99,,1.61,https://www.racedayquads.com/products/gemfan-hurricane-4024-durable-bi-blade-4-prop-8-pack-choose-your-color,
Gemfan,"Hurricane 4525 Tri-Blade 4.5"" Prop",gemfan-hurricane-4525-tri-blade-4-5-prop,3,4.5,5mm,2.5,2.99,,2.3,https://www.racedayquads.com/products/gemfan-hurricane-4525-tri-blade-4-5-prop-4-pack-clear-gray,
Gemfan,"Hurricane 4937 Tri-Blade 5"" Prop - Choose",gemfan-hurricane-4937-tri-blade-5-prop-choose,3,4.9,5mm,3.7,3.99,,3.5,https://www.racedayquads.com/products/gemfan-hurricane-4937-tri-blade-5-prop-4-pack-choose-color,
Gemfan,"Hurricane 51433 Durable Tri-Blade 5"" Prop - Choose Your",gemfan-hurricane-51433-durable-tri-blade-5-prop-choose-your,3,5.1,5mm,3.5,4.99,,3.8,https://www.racedayquads.com/products/gemfan-hurricane-51433-durable-tri-blade-5-prop-4-pack-choose-your-color,
Gemfan,"Hurricane 51477 Tri-Blade 5"" Prop - Choose Your",gemfan-hurricane-51477-tri-blade-5-prop-choose-your,3,5.1,5mm (standard),4.7,3.99,,4.15,https://www.racedayquads.com/products/gemfan-hurricane-51477-tri-blade-5-prop-4-pack-choose-your-color,
Gemfan,"Hurricane 5236 Durable Tri-Blade 5.2"" Prop - Choose Your",gemfan-hurricane-5236-durable-tri-blade-5-2-prop-choose-your,3,5.2,5mm,3.6,3.99,,3.9,https://www.racedayquads.com/products/gemfan-hurricane-5236-durable-tri-blade-5-2-prop-choose-your-color,
Gemfan,"Hurricane 6038-4 Quad-Blade 6"" Prop - Choose Your",gemfan-hurricane-6038-4-quad-blade-6-prop-choose-your,6,6.0,5mm (standard),3.8,4.99,,8.2,https://www.racedayquads.com/products/gemfan-hurricane-6038-4-quad-blade-6-prop-4-pack-choose-your-color,
Gemfan,Hurricane 7050 Durable Tri-Blade 7″ Prop – Choose Your,gemfan-hurricane-7050-durable-tri-blade-7-prop-choose-your,7,5.0,5mm,5.0,4.49,,8.9,https://www.racedayquads.com/products/gemfan-hurricane-7050-durable-tri-blade-7-prop-4-pack-choose-your-color,
Gemfan,"Hurricane LR 6026-2 Bi-Blade 6"" Prop (5mm) - Choose Your",gemfan-hurricane-lr-6026-2-bi-blade-6-prop-5mm-choose-your,2,6.0,5mm,2.6,3.99,,3.0,https://www.racedayquads.com/products/gemfan-hurricane-sl-6026-bi-blade-6-prop-4-pack-1-5mm-choose-your-color,
Gemfan,"Hurricane MCK 51466-3 V2 Tri-Blade 5.1"" Prop - Choose",gemfan-hurricane-mck-51466-3-v2-tri-blade-5-1-prop-choose,3,5.1,5mm,3.6,4.99,,4.2,https://www.racedayquads.com/products/gemfan-hurricane-mck-51466-3-v2-tri-blade-5-1-prop-4-pack-choose-color,
Gemfan,"Hurricane MCK Edition 51466 Durable Tri-Blade 5"" Prop - Milk",gemfan-hurricane-mck-edition-51466-durable-tri-blade-5-prop-milk,3,5.1,5mm,4.66,3.29,,4.1,https://www.racedayquads.com/products/gemfan-hurricane-mck-edition-51466-durable-tri-blade-5-prop-4-pack-milk-white,
