brand,model,slug,blades,diameter_in,mount,pitch_in,price_usd,suited_motors,weight_g,sources,note
HQProp,"HQ Prop Ummagawd 4Play 4.8x3.6x4 Quad-Blade 5"" Prop - Gulf",hqprop-hq-prop-ummagawd-4play-4-8x3-6x4-quad-blade-5-prop-gulf,4,5.0,5mm,3.6,4.99,,4.05,https://www.racedayquads.com/products/hq-prop-ummagawd-4play-4-8x3-6x4-quad-blade-5-prop-4-pack-gulf,
HQProp,"HQ Prop V1S 3x4x3 Tri-Blade 3"" Prop - Choose Your",hqprop-hq-prop-v1s-3x4x3-tri-blade-3-prop-choose-your,3,3.0,5mm,4.0,2.99,,2.05,https://www.racedayquads.com/products/hq-3x4x3-v1s-prop-for-3,
HQProp,"HQ Prop V2S Freestyle 5x4.3x3 Tri-Blade 5"" Prop - Choose Your",hqprop-hq-prop-v2s-freestyle-5x4-3x3-tri-blade-5-prop-choose-your,3,5.0,5mm,4.3,3.99,,3.8,https://www.racedayquads.com/products/hq-prop-v2s-freestyle-5x4-3x3-tri-blade-5-prop-4-pack-choose-your-color,
HQProp,"HQ Prop V2S T2.5x2x3 Durable Tri-Blade 2.5"" Prop",hqprop-hq-prop-v2s-t2-5x2x3-durable-tri-blade-2-5-prop,3,2.5,T-mount,2.0,2.49,,1.2,https://www.racedayquads.com/products/hq-prop-v2s-t2-5x2x3-durable-tri-blade-2-5-prop-4-pack-grey,
HQProp,"Juicy J33 4.9"" 3-Blade",hqprop-juicy-j33-4-9-3-blade,3,4.9,5mm,3.3,5.49,,3.8,https://www.racedayquads.com/products/hqprop-juicy-j33-4-9-3-blade-propeller-set-of-4,
HQProp,Juicy Prop J35 3-Blade,hqprop-juicy-prop-j35-3-blade,3,4.9,5mm,3.5,3.49,,3.6,https://www.racedayquads.com/products/hqprop-juicy-prop-j35-3-blade-propeller-set-of-4,
HQProp,LR10x5x3 3-Blade,hqprop-lr10x5x3-3-blade,3,10.0,5mm,5.0,18.49,,18.1,https://www.racedayquads.com/products/hqprop-lr10x5x3-3-blade-propeller-set-of-4,
HQProp,LR10x6x3 3-Blade,hqprop-lr10x6x3-3-blade,3,10.0,5mm,6.0,18.49,,19.3,https://www.racedayquads.com/products/hqprop-lr10x6x3-3-blade-propeller-set-of-4,
HQProp,MacroQuad 10x4.5x3 3-Blade,hqprop-macroquad-10x4-5x3-3-blade,3,10.0,5mm,4.5,11.99,,23.8,https://www.racedayquads.com/products/hqprop-macroquad-10x4-5x3-3-blade-propeller-set-of-2,
HQProp,MacroQuad 10x5 2-Blade,hqprop-macroquad-10x5-2-blade,2,10.0,5mm,5.0,15.99,,16.0,https://www.racedayquads.com/products/hqprop-macroquad-10x5-2-blade-propeller-set-of-4,
HQProp,MacroQuad 10x5.5x3 3-Blade,hqprop-macroquad-10x5-5x3-3-blade,3,10.0,5mm,5.5,15.99,,27.0,https://www.racedayquads.com/products/hqprop-macroquad-10x5-5x3-3-blade-propeller-set-of-4,
HQProp,MacroQuad 10x5x3 3-Blade,hqprop-macroquad-10x5x3-3-blade,3,10.0,5mm,5.0,18.49,,23.3,https://www.racedayquads.com/products/hqprop-macroquad-10x5x3-3-blade-propeller-set-of-4,
HQProp,MacroQuad 11x4.5x3 3-Blade,hqprop-macroquad-11x4-5x3-3-blade,3,11.0,5mm,4.5,13.99,,32.0,https://www.racedayquads.com/products/hqprop-macroquad-11x4-5x3-3-blade-propeller-set-of-2,
HQProp,MacroQuad 12x7.5x3 3-Blade,hqprop-macroquad-12x7-5x3-3-blade,3,12.0,5mm,7.5,18.49,,36.0,https://www.racedayquads.com/products/hqprop-macroquad-12x7-5x3-3-blade-propeller-set-of-4,
HQProp,MacroQuad 8.5x4x3 3-Blade,hqprop-macroquad-8-5x4x3-3-blade,3,8.5,5mm,4.0,13.99,,15.0,https://www.racedayquads.com/products/hqprop-macroquad-8-5x4x3-3-blade-propeller-set-of-4,
HQProp,MacroQuad 8x4.3x3 3-Blade,hqprop-macroquad-8x4-3x3-3-blade,3,8.0,5mm,4.3,15.99,,13.5,https://www.racedayquads.com/products/hqprop-macroquad-8x4-3x3-3-blade-propeller-set-of-4,
HQProp,MacroQuad 8x4x3 3-Blade,hqprop-macroquad-8x4x3-3-blade,3,8.0,5mm,4.0,15.99,,12.8,https://www.racedayquads.com/products/hqprop-macroquad-8x4x3-3-blade-propeller-set-of-4,
HQProp,MacroQuad 8x6x3 3-Blade,hqprop-macroquad-8x6x3-3-blade,3,8.0,5mm,6.0,15.99,,13.5,https://www.racedayquads.com/products/hqprop-macroquad-8x6x3-3-blade-propeller-set-of-4,
HQProp,MacroQuad 9x4.5x3 3-Blade,hqprop-macroquad-9x4-5x3-3-blade,3,9.0,5mm,4.5,11.99,,18.4,https://www.racedayquads.com/products/hqprop-macroquad-9x4-5x3-3-blade-propeller-set-of-2,
HQProp,MacroQuad 9x4.5x3R 3-Blade,hqprop-macroquad-9x4-5x3r-3-blade,3,9.0,5mm,4.0,11.49,,18.4,https://www.racedayquads.com/products/hqprop-macroquad-9x4-5x3r-3-blade-propeller-set-of-2,
HQProp,MacroQuad 9X4X3 3-Blade,hqprop-macroquad-9x4x3-3-blade,3,9.0,5mm,4.0,18.49,,18.5,https://www.racedayquads.com/products/hqprop-macroquad-9x4x3-3-blade-propeller-set-of-4,
HQProp,MacroQuad 9x5x3 3-Blade,hqprop-macroquad-9x5x3-3-blade,3,9.0,5mm,5.0,23.49,,17.4,https://www.racedayquads.com/products/hqprop-macroquad-9x5x3-3-blade-propeller-set-of-4,
HQProp,X-Class 13X9X3 V2 Glass Fiber Nylon,hqprop-x-class-13x9x3-v2-glass-fiber-nylon,3,13.0,6mm,9.0,20.49,,46.0,https://www.racedayquads.com/products/hqprop-x-class-13x9x3-v2-glass-fiber-nylon-propeller-set-of-2,
iFlight,"Defender 25 2525-3 2.5"" Prop",iflight-defender-25-2525-3-2-5-prop,3,2.5,1.5mm,2.5,4.99,,1.1,https://www.racedayquads.com/products/iflight-defender-25-2525-3-2-5-prop-4-pack,
iFlight,"Nazgul F5 Tri-Blade 5"" Prop - Choose",iflight-nazgul-f5-tri-blade-5-prop-choose,3,5.0,5mm,3.5,4.99,,3.9,https://www.racedayquads.com/products/iflight-nazgul-f5-tri-blade-5-prop-4-pack-choose-color,
T-Motor,C10.5x5x3 Cinematic Macro Prop,t-motor-c10-5x5x3-cinematic-macro-prop,3,10.5,5mm,5.0,16.99,,26.5,https://www.racedayquads.com/products/t-motor-c10-5x5x3-cinematic-macro-prop-2-pack-black,
T-Motor,"C7.5x4.6x3 Cine Tri-Blade 7.5"" Prop",t-motor-c7-5x4-6x3-cine-tri-blade-7-5-prop,3,7.5,5mm,4.6,12.99,,12.0,https://www.racedayquads.com/products/t-motor-c7-5x4-6-cine-tri-blade-7-5-prop-2-pack,
T-Motor,C8.5x5x3 Cinematic Macro Prop,t-motor-c8-5x5x3-cinematic-macro-prop,3,8.5,5mm,5.0,13.99,,14.8,https://www.racedayquads.com/products/t-motor-c8-5x5x3-cinematic-macro-prop-2-pack-black,
T-Motor,C9.5x5x3 Cinematic Macro Prop,t-motor-c9-5x5x3-cinematic-macro-prop,3,9.5,5mm,5.0,14.99,,21.3,https://www.racedayquads.com/products/t-motor-c9-5x5x3-cinematic-macro-prop-2-pack-black,
T-Motor,"F5146 Tri-Blade 5"" Prop - Choose",t-motor-f5146-tri-blade-5-prop-choose,3,5.0,5mm (standard),4.6,3.99,,4.2,https://www.racedayquads.com/products/t-motor-f5146-tri-blade-5-prop-4-pack-choose-color,
T-Motor,"Pacer P49436 Tri-Blade 5"" Prop - Choose",t-motor-pacer-p49436-tri-blade-5-prop-choose,3,4.9,5mm,4.3,4.99,,3.5,https://www.racedayquads.com/products/t-motor-pacer-p49436-tri-blade-5-prop-4-pack-choose-color,
T-Motor,"T5143S Tri-Blade 5"" Prop",t-motor-t5143s-tri-blade-5-prop,3,5.0,5mm (standard),4.3,3.19,,4.1,https://www.racedayquads.com/products/t-motor-t5143s-tri-blade-5-prop-4-pack-gray,
T-Motor,"T5146 POPO Compatible Tri-Blade 5"" Prop - Choose Your",t-motor-t5146-popo-compatible-tri-blade-5-prop-choose-your,3,5.0,5mm,4.6,3.19,,5.0,https://www.racedayquads.com/products/t-motor-t5146-popo-compatible-tri-blade-5-prop-4-pack-clear-red,
weBLEEDfpv,HQ Ultralight Whoop Prop 31MM,webleedfpv-hq-ultralight-whoop-prop-31mm,3,1.22,1mm,1.0,3.29,,0.16,https://www.racedayquads.com/products/hq-ultralight-whoop-prop-31mm,
