brand,model,slug,bec_output,esc_current_a,esc_firmware,fc_firmware,gyro,kind,max_cells,mcu,mount_mm,price_usd,weight_g,sources,note
Flycolor,SpeedyPizza CrustCore Stack - F7 FC + 60A 3-6S BLHeli_32 4-in-1 ESC - ICM42688 - 20x20,flycolor-speedypizza-crustcore-stack-f7-fc-60a-3-6s-blheli-32-4-in-1-esc-icm42688-20x20,10V @2.0A,60,BLHeli_32,,ICM42688,stack,3-6S,F405,20x20mm,154.99,5.0,https://www.racedayquads.com/products/flycolor-speedypizza-crustcore-stack-f7-fc-60a-3-6s-blheli_32-4-in-1-esc-icm42688-20x20,
Flywoo,GOKU ERVT 5-in-1 AIO - F405 FC + 1S 5A ESC + 400mw + ELRS RX + OSD,flywoo-goku-ervt-5-in-1-aio-f405-fc-1s-5a-esc-400mw-elrs-rx-osd,5V 2.0A max,5,O_H_5_48KHz_V0.19.hex Bluejay firmware,FLYWOOF405S_AIO,ICM42688P,AIO,1S,F405,25.5x25.5mm,79.99,4.0,https://www.racedayquads.com/products/flywoo-goku-ervt-5-in-1-aio-f405-fc-1s-5a-esc-400mw-vtx-elrs-rx-osd,
Flywoo,GOKU F405 V2 1-2S AIO Whoop/Toothpick (w/ 12A BLHeli_S 4in1 ESC) + ELRS 2.4 GHz,flywoo-goku-f405-v2-1-2s-aio-whoop-toothpick-w-12a-blheli-s-4in1-esc-elrs-2-4-ghz,5V 2A / 9V 2A,12,Z_H_30_REV16.7,,BMI270,AIO,1-2S,F405,25.5x25.5mm,89.99,4.9,https://www.racedayquads.com/products/flywoo-goku-f405-v2-1-2s-aio-whoop-toothpick-flight-controller-w-12a-blheli_s-4in1-esc-elrs-2-4-ghz,
Flywoo,GOKU F405S 2-6S AIO Whoop/Toothpick w/ 40A 8Bit 4in1 ESC,flywoo-goku-f405s-2-6s-aio-whoop-toothpick-w-40a-8bit-4in1-esc,,40,BLHELI_S,,MPU6000,AIO,2-6S,F405,25.5x25.5mm,107.99,8.5,https://www.racedayquads.com/products/flywoo-goku-f405s-2-6s-aio-whoop-toothpick-flight-controller-w-40a-8bit-4in1-esc,
Flywoo,GOKU GN F745 EVO HD 2-6S 20x20 AIO w/ 40A 32Bit 4in1 ESC,flywoo-goku-gn-f745-evo-hd-2-6s-20x20-aio-w-40a-32bit-4in1-esc,,40,BLHELI_32,,MPU6000,AIO,2-6S,F745,20x20mm,132.99,8.5,https://www.racedayquads.com/products/flywoo-goku-gn-f745-evo-hd-2-6s-aio-20x20-aio-flight-controller-w-40a-32bit-4in1-esc,
Flywoo,GOKU GN405 F4 2-6S 16x16 Stack/Combo (F4 FC / 35A 8Bit 4in1 ESC),flywoo-goku-gn405-f4-2-6s-16x16-stack-combo-f4-fc-35a-8bit-4in1-esc,,35,,,ICM42688,stack,2-6S,F405,16x16mm,89.99,2.3,https://www.racedayquads.com/products/flywoo-goku-gn405-2-6s-16x16-stack-combo-gn405-nano-fc-35a-8bit-4in1-esc,
Flywoo,GOKU Pro Mini Stack - F7 FC + 45A 2-6S AM32 4-in-1 ESC - ICM42688 - 20x20,flywoo-goku-pro-mini-stack-f7-fc-45a-2-6s-am32-4-in-1-esc-icm42688-20x20,10V 2A / 5V 2A,45,,,ICM42688,stack,2-6S,F722,20x20mm,83.99,9.9,https://www.racedayquads.com/products/flywoo-goku-pro-mini-stack-f7-fc-45a-2-6s-am32-4-in-1-esc-icm42688-20x20,
Flywoo,GOKU Versatile F405 1-2S AIO Whoop/Toothpick (w/12A 8Bit 4in1 ESC & 400mW ) - ELRS 2.4GHz,flywoo-goku-versatile-f405-1-2s-aio-whoop-toothpick-w-12a-8bit-4in1-esc-400mw-elrs-2-4ghz,,12,Z.H_30_REV16.7(BLHELI.S),,ICM42688,AIO,1-2S,F405,25.5x25.5mm,125.99,4.6,https://www.racedayquads.com/products/flywoo-goku-versatile-f405-1-2s-aio-whoop-toothpick-flight-controller-w,
FPVELITE,JHEMCU GHF745 F7 HD 3-6S AIO Whoop/Toothpick (w/ 50A AM32 4in1 ESC),fpvelite-jhemcu-ghf745-f7-hd-3-6s-aio-whoop-toothpick-w-50a-am32-4in1-esc,,50,,betaflight_4.4.2 JHEF745.HEX,MPU6000,AIO,3-6S,F745,25.5x25.5mm,107.99,8.5,https://www.racedayquads.com/products/jhemcu-ghf745-f7-hd-3-6s-aio-whoop-toothpick-flight-controller-w-50a-am32-4in1-esc,
FPVELITE,JHEMCU GSF405A 1-2S Toothpick/Whoop AIO w/ 8bit 5A ESC and ELRS 2.4GHz RX,fpvelite-jhemcu-gsf405a-1-2s-toothpick-whoop-aio-w-8bit-5a-esc-and-elrs-2-4ghz-rx,,5,BLHELI_S S_H_50_REV16_7.HEX,,MPU6000,AIO,1-2S,F405,25x25mm,67.99,3.3,https://www.racedayquads.com/products/jhemcu-gsf405a-1-2s-toothpick-whoop-aio-flight-controller-w-8bit-5a-esc-and-elrs-2-4ghz-rx,
GEPRC,F411 2-6S AIO Toothpick / Whoop w/ 35A 4in1 ESC,geprc-f411-2-6s-aio-toothpick-whoop-w-35a-4in1-esc,5V@1A,35,,GEPRC_F411_AIO,BMI270,AIO,2-6S,F411,25.5x25.5mm,86.99,8.8,https://www.racedayquads.com/products/geprc-f411-2-6s-aio-toothpick-whoop-flight-controller-w-35a-4in1-esc,
GEPRC,F722 2-6S F7 AIO FC w/ 35A 8Bit 4in1 ESC,geprc-f722-2-6s-f7-aio-fc-w-35a-8bit-4in1-esc,5V@1A,35,,,,AIO,2-6S,F722,25.5x25.5mm,107.99,8.8,https://www.racedayquads.com/products/geprc-f722-aio-fc-w-35a-2-6s-bls-esc,
GEPRC,F722 2-6S F7 AIO w/ 45A 8-bit ESC,geprc-f722-2-6s-f7-aio-w-45a-8-bit-esc,5V@1A,45,,,,AIO,2-6S,F722,25.5x25.5mm,131.99,8.8,https://www.racedayquads.com/products/geprc-f722-aio-fc-w-45a-2-6s-bls-esc,
GEPRC,FETtec Alpha Stack - G4 FC + 50A 2-6S 4-in-1 ESC - 30x30,geprc-fettec-alpha-stack-g4-fc-50a-2-6s-4-in-1-esc-30x30,"9V @ 2A (Max 2.5A), 5V @ 2A (Max 2.5A)",50,FETTEC ALPHA,,,stack,2-6S,G473,30.5x30.5mm,155.99,6.6,https://www.racedayquads.com/products/geprc-fettec-alpha-stack-g4-fc-50a-2-6s-4-in-1-esc-30x30,
GEPRC,Stable F4 2-4S AIO Whoop/Toothpick (w/ 12A 8Bit 4in1 ESC & 200mW U.FL ),geprc-stable-f4-2-4s-aio-whoop-toothpick-w-12a-8bit-4in1-esc-200mw-u-fl,5V@1A,12,,,MPU6000,AIO,2-4S,F411,25.5x25.5mm,81.49,2.0,https://www.racedayquads.com/products/geprc-stable-f4-2-4s-aio-whoop-toothpick-flight-controller-12a-8bit-4in1-esc-w-vtx25-200mw-5-8ghz-48ch-u-fl,
GEPRC,Taker F405 BLS 3-6S 30x30 Stack/Combo (F405 FC / 8Bit 50A 4in1 ESC),geprc-taker-f405-bls-3-6s-30x30-stack-combo-f405-fc-8bit-50a-4in1-esc,,50,,,ICM42688P,stack,3-6S,F405,30.5x30.5mm,69.99,7.7,https://www.racedayquads.com/products/geprc-taker-f405-bls-3-6s-30x30-stack-combo-f405-fc-8bit-50a-4in1-esc,
GEPRC,Taker F411 2-4S AIO Whoop/Toothpick w/12A 8Bit 4in1 ESC - ELRS 2.4GHz (SPI),geprc-taker-f411-2-4s-aio-whoop-toothpick-w-12a-8bit-4in1-esc-elrs-2-4ghz-spi,,12,"G-H-30 – Bluejay, 0.16, 48kH",,ICM42688P,AIO,2-4S,F411,25.5x25.5mm,95.99,7.0,https://www.racedayquads.com/products/geprc-taker-f411-2-4s-aio-whoop-toothpick-w-12a-8bit-4in1-esc-elrs-2-4ghz-spi,
HAKRC,F4126 F411 2-5S AIO Whoop/Toothpick (w/ 20A 8Bit 4in1 ESC),hakrc-f4126-f411-2-5s-aio-whoop-toothpick-w-20a-8bit-4in1-esc,,20,BLHELI_ S (G- H-20),,ICM42688,AIO,2-5S,F411,25.5x25.5mm / 26.5x26.5mm,67.49,8.5,https://www.racedayquads.com/products/hakrc-f411-2-5s-f4126-aio-fc-w-20a-8bit-4in1-esc,
HAKRC,F7220 2-6S AIO 20x20 w/ 32Bit 40A 4in1 ESC,hakrc-f7220-2-6s-aio-20x20-w-32bit-40a-4in1-esc,,40,BLHeli_32,,ICM42688,AIO,2-6S,F722,20x20mm,115.49,10.0,https://www.racedayquads.com/products/hakrc-f7220-2-6s-aio-flight-controller-w-32bit-40a-4in1-esc,
HAKRC,F7220 3-6S AIO 20x20 w/ 32Bit 50A 4in1 ESC,hakrc-f7220-3-6s-aio-20x20-w-32bit-50a-4in1-esc,,50,HAKRC_ AT4G_ Multi_ 32_ 9. Hex,HAKRCF7220D,ICM42688,AIO,3-6S,F722,20x20mm,131.99,10.0,https://www.racedayquads.com/products/hakrc-f7220-3-6s-aio-20x20-flight-controller-w-32bit-50a-4in1-esc,
Happymodel,Crazybee V1.0 5-in-1 AIO - G473 FC + 5A 1S Bluejay ESC + ELRS RX,happymodel-crazybee-v1-0-5-in-1-aio-g473-fc-5a-1s-bluejay-esc-elrs-rx,"5V, Max. 2A",5,V0.21.hex Bluejay,CRAZYBEEG473,ICM42688P,AIO,1S,G473,25.5x25.5mm,74.99,3.8,https://www.racedayquads.com/products/happymodel-crazybee-v1-0-5-in-1-aio-g473-fc-5a-1s-bluejay-esc-elrs-rx,
Happymodel,CrazyF405 ELRS HD 1-2S AIO Whoop/Toothpick w/ 12A 8Bit 4in1 ESC & ELRS 2.4GHz RX,happymodel-crazyf405-elrs-hd-1-2s-aio-whoop-toothpick-w-12a-8bit-4in1-esc-elrs-2-4ghz-rx,,12,Z-H-30,BetaflightF4,,AIO,1-2S,F405,25.5x25.5mm,65.99,4.8,https://www.racedayquads.com/products/happymodel-crazyf405-elrs-hd,
Happymodel,CrazyF411 F4 2-4S Whoop/Toothpick AIO w/ 20A 8Bit 4in1 ESC - ELRS 2.4GHz (UART),happymodel-crazyf411-f4-2-4s-whoop-toothpick-aio-w-20a-8bit-4in1-esc-elrs-2-4ghz-uart,,20,,,,AIO,2-4S,F411,25.5x25.5mm,76.99,,https://www.racedayquads.com/products/happymodel-crazyf411-f4-2-4s-whoop-toothpick-aio-flight-controller-w-20a-8bit-4in1-esc-elrs-2-4ghz-uart,
Happymodel,CruxF405HD 2-4S F4 AIO 20x20 (w/ 20A 8Bit 4in1 ESC & 2.4GHz ELRS RX),happymodel-cruxf405hd-2-4s-f4-aio-20x20-w-20a-8bit-4in1-esc-2-4ghz-elrs-rx,,20,F_H_40_48_v0.19.2,,,AIO,2-4S,F405,20x20mm,69.99,,https://www.racedayquads.com/products/happymodel-2-4s-f405-aio-toothpick-whoop-flight-controller-w-20a-8bit-4in1-esc-2-4ghz-elrs-rx,
Happymodel,SuperF405HD 2-4S F4 AIO Toothpick/Whoop (w/ 20A 8Bit 4in1 ESC & 2.4GHz ELRS RX),happymodel-superf405hd-2-4s-f4-aio-toothpick-whoop-w-20a-8bit-4in1-esc-2-4ghz-elrs-rx,,20,F_H_40_48_v0.19.2,,,AIO,2-4S,F405,25x25mm,69.99,,https://www.racedayquads.com/products/happymodel-superf405hd-2-4s-f4-aio-toothpick-whoop-flight-controller-w-20a-8bit-4in1-esc-2-4ghz-elrs-rx,
Happymodel,SuperX AIO - F4 FC + 5A 1S BLHeli_S ESC,happymodel-superx-aio-f4-fc-5a-1s-blheli-s-esc,,5,O-H-5 48kHz,,,AIO,1S,F411,25.5x25.5mm,83.99,,https://www.racedayquads.com/products/happymodel-superx-aio-f4-fc-5a-1s-blheli_s-esc,
Happymodel,SuperX AIO V2 - F4 + 5A 1S BLHeli_S ESC + ELRS 2.4GHz,happymodel-superx-aio-v2-f4-5a-1s-blheli-s-esc-elrs-2-4ghz,,5,O-H-5 48kHz,,,AIO,1S,F411,25.5x25.5mm,83.99,,https://www.racedayquads.com/products/happymodel-superx-aio-v2-f4-5a-1s-blheli_s-esc-elrs-2-4ghz,
Happymodel,X12 AIO 5-IN-1 BOARD - F4 FC + 12A ESC - Choose your version,happymodel-x12-aio-5-in-1-board-f4-fc-12a-esc-choose-your-version,,12,Z_H_30_REV16_7,,,AIO,1-2S,F411,25x25mm,75.99,5.1,https://www.racedayquads.com/products/happymodel-x12-2s-aio-whoop-flight-controller-f4-fc-12a-4in1-esc-25-400mw-vtx-choose-version,
Happymodel,X12 Lite V1.0 F411 1-2S Whoop/Toothpick AIO w/ 12A 8Bit 4in1 ESC,happymodel-x12-lite-v1-0-f411-1-2s-whoop-toothpick-aio-w-12a-8bit-4in1-esc,,12,,,ICM20689,AIO,1-2S,F411,25x25mm,75.99,5.1,https://www.racedayquads.com/products/happymodel-x12-lite-v1-flight-controller,
HDZero,Halo Stack - H743 ELRS FC (ICM42688) + 70A BLHeli_32 ESC - 20x20,hdzero-halo-stack-h743-elrs-fc-icm42688-70a-blheli-32-esc-20x20,5V/4A,70,BLHeli 32.10,Betaflight: HDZERO_HALO,ICM42688,stack,3-8S,H743,20x20mm,164.99,13.4,https://www.racedayquads.com/products/hdzero-halo-stack-h743-elrs-fc-icm42688-70a-blheli_32-esc-20x20,
